fips,county,state,days,bar_days,gathering_days,mask_days,restaurant_days,stay_at_home_days,stringency,county_level_index,family_unity,community_health,institutional_health,collective_efficacy,penn_state_index,unemployment_rate,prime_age_male_labor_force_participation,percent_teens_idle,median_household_income,poverty_rate,percent_with_debt_in_collection,percent_with_housing_costs_35_percent_of_income,percent_children_in_family_receiving_public_assistance_snap_ssi,percent_in_distressed_zip_codes_eig_suppressed,percent_poor_in_block_group_of_ave_poor_person,percent_rich_in_block_group_of_ave_rich_person,ratio_of_80th_to_20th_percentile_of_hh_income,gini_coefficient,top_5_percent_share_of_hh_income,opportunity_score_opportunity_nation_suppressed,relative_immobility,percent_adults_graduated_high_school,percent_adults_with_ba,on_time_high_school_graduation_rate,percent_in_fair_or_poor_health,premature_mortality_rate,mortality_rate_from_deaths_of_despair,percent_disabled,percent_diabetic,percent_obese,percent_who_smoke,percent_births_low_birth_weight,percent_without_health_insurance,median_age,percent_under_18_years_old,percent_65,percent_non_hispanic_white,percent_black,percent_hispanic,percent_american_indian_ak_native,percent_asian,percent_hawaiian_pacific_islander,percent_other,percent_multiracial,black_white_segregation,percent_foreign_born,population,density,percent_rural,mean_commute_time,percent_of_housing_owner_occupied,median_age_housing,net_migration,average_temperature,republican_percent,sk_2014,series_complete_pop_pct
01001,Autauga County,AL,0,53,279,169,53,26,580,0.0219229,0.5592936,-1.018466,0.4536372,-0.1048529,-0.631003349820884,3.4,86.81909885675857,NA,53099,12.3,0.34,22.82209198370915,24.3,NA,0.276,0.237,4.38834615717126,0.4295,19.22,NA,0.44377,87.6,24.6,90,17.878814127,468.4,40.5,16.54634797379277,13,34.1,17.380239384,8.789277082,8.9,37.8,25.471160387592622,13.91141265375917,75.7,18.4,2.59999999999999,0.4,0.8,0,0.2,1.9,0.3766829,1.8,55049,92.6064867774712,42.002162321,5.3,73.2,27,0.00930743518247564,77.7,71.4368023046453,-0.631003349820884,37
01003,Baldwin County,AL,0,53,279,169,53,26,580,0.016798,0.4474442,-0.9772618,0.2594201,0.1476817,-0.555396005553432,3.7,89.26148041782808,6.2,51365,13,0.28,22.866270472364057,23.9,NA,0.296,0.28,4.60073522818973,0.4608,21.5,NA,0.3361,90,29.5,85,16.361972647,361.3,63.6,10.892077784568768,10.4,27.4,17.937119897,8.6306400839,11.8,42.3,22.424205515463395,18.621540147985748,83.2,9.2,4.40000000000001,0.6,0.7,0,0.2,1.8,0.3216643,3.3,199510,125.495351558077,42.279099114,8.3,71.7,24,0.01828561932408808,78.2,76.17137282433282,-0.5553960055534322,46.1
01005,Barbour County,AL,0,53,279,169,53,26,580,-1.162053,-1.827169,-0.5511792,-0.4205936,-0.4302041,-0.891036085245392,6.2,83.64038319823139,NA,33956,26.4,0.4,22.634574341949257,NA,NA,0.437,0.16,5.86166007905138,0.462,17.69,NA,0.39817,73.8,12.9,86.173469388,25.02040126,439.5,NA,18.038274030415486,18.4,44.4,22.776688613,11.669057867,13,38.7,24.216704670213662,17.75187906426822,45.9,47.9,4.3,0.2,0.4,0,0.7,0.6,0.2716315,2.9,26614,30.0763945393726,67.789634702,7.3,63.9,37,-0.01623311417038544,79,53.45122646891044,-0.8910360852453917,40.8
01007,Bibb County,AL,0,53,279,169,53,26,580,-0.1360188,0.4248018,-0.5820823,-0.8881667,0.5066009,-0.906581520515335,3.5,84.32327166504382,NA,39776,16.5,0.47,18.985419198055897,NA,NA,0.318,0.164,4.22812681945694,0.4494,21.77,NA,0.4344,80.7,12,85,19.540231096,521,NA,13.846518612186834,14.8,40.3,19.850765841,11.968235961,9,40.2,22.905136421011747,15.666569569861151,74.8,21.2,2.2,0.4,0.1,0,0,1.4,0.465665,1.4,22572,36.2555816120017,68.352607462,7.5,72.6,35,-0.00527705385803579,76.8,78.42626367899948,-0.906581520515335,31.9
01009,Blount County,AL,0,55,279,169,55,26,584,0.1848177,0.6650993,-0.9263323,0.4219817,0.174536,-1.01327973532267,3,78.12387143373059,NA,46212,16.5,0.36,15.31658817373103,26.1,NA,0.299,0.2,4.06823689056896,0.4165,17.7,NA,0.31711,80,13,91.20625,18.947608063,445.4,58.1,13.165636952044718,14.1,34.6,21.037381533,7.3489723895,11.2,40.8,23.744651122172737,16.889354641516025,87.7,1.6,8.7,0.3,0.2,0,0.2,1.4,0.4632994,4.3,57704,89.4940910077856,89.951502041,17.1,78.8,31,-0.00471108062626716,73.8,89.57155284906482,-1.013279735322674,28.8
01011,Bullock County,AL,0,53,279,169,53,26,580,NA,NA,-0.0438967,-0.9274457,-0.2938663,-0.502400203496807,7.5,78.562525965932693,NA,29335,26.9,0.47,22.105263157894736,NA,NA,0.411,0.083,6.04664391353811,0.4701,20.01,NA,0.3648,66.6,10.3,87.5,28.257945086,546.6,NA,15.932946890177032,19.6,43,22.774925032,13.429951691,16.7,39.2,22.359882005899703,14.87708947885939,21.7,75.5,0.0999999999999943,0.8,0.8,0,0,1.1,0.3272488,1.5,10552,16.9428387925498,51.374381528,14.4,73.1,35,-0.00678334578862926,78.3,24.842835464990245,-0.5024002034968069,46
01013,Butler County,AL,0,53,279,169,53,26,580,NA,NA,-0.1705591,-0.3523213,-1.435694,-0.339173133162401,5.3,82.71458271458272,NA,34315,25.7,0.43,22.488839285714285,NA,NA,0.441,0.127,5.05293384998616,0.4588,19.01,NA,0.49356,81.1,16.1,83,26.62129034,560.2,NA,17.573898969247807,17.7,36.3,21.832347452,11.141602634,11.8,40.6,23.667366736673667,17.631763176317634,52.8,43.5,1.2,0.1,1,0,0.1,1.3,0.4067425,1.4,20280,26.1060978592485,71.23215735,7.2,70.3,37,-0.01370166044276836,78.8,57.525295109612145,-0.3391731331624012,36
01015,Calhoun County,AL,0,53,279,169,53,26,580,-0.9757612,-0.2469159,-0.7596743,-0.082039,-1.698557,-0.351892125655991,6.7,84.98008723686706,4.2,41954,19.6,0.43,21.69355213611641,35.3,NA,0.4,0.204,4.86160924964606,0.4543,20.38,NA,0.39875,82.3,17.7,92.16337386,22.003204574,550.4,60.6,18.89348252458693,14.9,32.2,20.320382384,8.8653212521,10.9,39.1,22.30935333560632,15.73343124655774,73,20.3,3.40000000000001,0.2,0.9,0,0,2.1,0.4914128,2.4,115883,191.267103504052,33.696825557,6.6,69,41,-0.00736642447643048,74.3,68.84843967597043,-0.3518921256559913,43.3
01017,Chambers County,AL,0,53,279,169,53,26,580,-1.272693,-1.376689,-0.640263,-0.0722857,-1.453769,-0.366730950231846,4.1,80.26464418266903,NA,36027,20.3,0.46,23.865220759101472,43.8,NA,0.396,0.126,4.70195003823604,0.4734,23.72,NA,0.38561,80.3,12.5,85,24.489616793,532.7,52.5,15.386507897456084,16.4,39.7,20.905874722,11.429582449,11.8,43.1,21.64531756174399,17.954052367224417,56.7,40.5,0.400000000000006,0.2,0.9,0,0,1.1,0.4011355,1,34018,57.0264697500545,49.148034488,5.1,67.6,44,-0.00452618299240614,76,57.26903951845067,-0.3667309502318464,28.8
01019,Cherokee County,AL,0,53,279,169,53,26,580,-0.5231371,0.7254928,-0.7245127,-0.9014293,-0.7137243,-1.05214332349753,3,85.72043937109628,NA,38925,16.4,0.4,21.234189344576468,NA,NA,0.377,0.146,4.64071996259935,0.4464,19.79,NA,0.40419,81.3,14,88,19.294713404,522.7,NA,18.876004743708,13.3,33.6,18.420824393,8.4112149533,9.5,45.7,20.82062113744817,19.81146835641086,91.9,4.6,1.59999999999999,0.6,0.3,0,0,1,0.2764567,0.7,25897,46.7708145204985,85.736273039,9.3,79.2,33,0.00423724976968832,73.5,86.03365580034144,-1.0521433234975324,29.5
